cohort_id,cohort_name,outcome_concept_id
101,Acute pancreatitis,199074
102,Alcohol abuse,433753
103,Allergic rhinitis,257007
104,Amenorrhea,443800
105,Bipolar disorder,436665
106,Candida infection of genital region,4084966
107,Candidiasis of mouth,29735
108,Cardiomegaly,314658
109,Carotid artery obstruction,4288310
110,Carpal tunnel syndrome,380094
111,Chronic obstructive lung disease,255573
112,Conduct disorder,443617
113,Dysplasia of cervix,192367
114,Gastrointestinal hemorrhage,192671
115,Hirsutism,134718
116,Hydronephrosis,433811
117,Hypersomnia,438134
118,Hypoglycemia,24609
119,Infectious mononucleosis,437784
120,Ingrowing nail,139099
121,Injury of hand,80004
122,Lipoma,440358
123,Lymphadenitis,316084
124,Metabolic syndrome X,436940
125,Mitral valve disorder,319843
126,Obsessive-compulsive disorder,440374
127,Ovarian failure,193739
128,Perforation of tympanic membrane,375292
129,Peripheral venous insufficiency,321596
130,Posttraumatic stress disorder,436676
131,Prostatitis,194997
132,Restless legs,73754
133,Senile hyperkeratosis,141932
134,Sensorineural hearing loss,374366
135,Sleep apnea,313459
136,Uterine leiomyoma,197236
